image_name,class_id,xmin,xmax,ymin,ymax
FLIR_00001.jpeg,3,202,334,190,312
FLIR_00001.jpeg,3,405,493,193,270
FLIR_00001.jpeg,3,80,128,220,248
FLIR_00001.jpeg,3,129,157,219,253
FLIR_00002.jpeg,3,396,543,200,250
FLIR_00002.jpeg,3,324,345,206,225
FLIR_00002.jpeg,3,273,287,196,210
FLIR_00002.jpeg,3,307,322,197,211
FLIR_00002.jpeg,3,262,274,195,208
FLIR_00002.jpeg,3,252,265,198,212
FLIR_00003.jpeg,3,231,266,225,253
FLIR_00003.jpeg,3,267,281,225,246
FLIR_00003.jpeg,3,320,334,227,241
FLIR_00003.jpeg,3,298,312,228,240
FLIR_00003.jpeg,3,278,292,226,242
FLIR_00004.jpeg,3,58,196,209,294
FLIR_00004.jpeg,3,192,211,229,259
FLIR_00004.jpeg,3,290,306,234,250
FLIR_00004.jpeg,3,211,227,232,255
FLIR_00004.jpeg,3,226,242,236,252
FLIR_00004.jpeg,1,58,71,233,253
FLIR_00004.jpeg,3,251,264,239,251
FLIR_00004.jpeg,3,328,353,230,254
FLIR_00004.jpeg,3,242,251,236,252
FLIR_00004.jpeg,3,318,330,237,253
FLIR_00005.jpeg,3,430,620,202,310
FLIR_00005.jpeg,3,364,441,192,264
FLIR_00005.jpeg,3,0,108,201,356
FLIR_00005.jpeg,3,101,156,210,250
FLIR_00005.jpeg,3,233,263,206,233
FLIR_00005.jpeg,3,291,322,207,234
FLIR_00005.jpeg,3,154,181,212,246
FLIR_00005.jpeg,3,348,367,213,241
FLIR_00005.jpeg,3,339,355,209,236
FLIR_00005.jpeg,3,330,347,208,232
FLIR_00006.jpeg,3,374,630,165,377
FLIR_00006.jpeg,3,0,76,225,308
FLIR_00007.jpeg,3,281,323,217,253
FLIR_00007.jpeg,3,225,242,225,241
FLIR_00008.jpeg,3,291,334,212,252
FLIR_00008.jpeg,3,224,241,214,236
FLIR_00008.jpeg,3,198,225,218,242
FLIR_00009.jpeg,3,283,324,222,258
FLIR_00009.jpeg,3,261,281,214,232
FLIR_00009.jpeg,3,274,290,202,217
FLIR_00010.jpeg,1,32,54,229,284
FLIR_00010.jpeg,3,174,213,225,255
FLIR_00010.jpeg,3,218,243,221,243
FLIR_00010.jpeg,3,318,346,216,236
FLIR_00010.jpeg,3,242,253,216,232
FLIR_00010.jpeg,3,298,310,206,217
FLIR_00010.jpeg,3,253,265,212,228
FLIR_00010.jpeg,3,260,280,221,238
FLIR_00010.jpeg,3,280,291,206,216
FLIR_00011.jpeg,3,398,512,211,298
FLIR_00011.jpeg,3,222,265,221,261
FLIR_00011.jpeg,3,322,342,229,245
FLIR_00011.jpeg,3,302,319,225,242
FLIR_00012.jpeg,3,44,82,235,265
FLIR_00013.jpeg,3,174,234,225,273
FLIR_00013.jpeg,3,344,379,237,264
FLIR_00013.jpeg,3,336,361,231,254
FLIR_00013.jpeg,3,249,277,233,255
FLIR_00013.jpeg,3,232,251,232,263
FLIR_00013.jpeg,3,276,295,232,253
FLIR_00014.jpeg,1,211,221,211,237
FLIR_00014.jpeg,3,265,297,209,240
FLIR_00014.jpeg,3,217,265,212,232
FLIR_00014.jpeg,3,294,332,214,230
FLIR_00014.jpeg,3,186,205,211,227
FLIR_00014.jpeg,3,154,173,211,227
FLIR_00014.jpeg,3,363,411,212,231
FLIR_00015.jpeg,3,112,127,219,232
FLIR_00015.jpeg,3,0,29,237,258
FLIR_00015.jpeg,1,269,279,235,254
FLIR_00016.jpeg,3,171,250,221,285
FLIR_00016.jpeg,3,136,166,255,278
FLIR_00016.jpeg,3,56,107,247,284
FLIR_00016.jpeg,3,8,58,246,285
FLIR_00016.jpeg,3,0,18,258,289
FLIR_00017.jpeg,3,17,77,241,278
FLIR_00017.jpeg,3,76,103,252,276
FLIR_00017.jpeg,3,158,188,258,274
FLIR_00017.jpeg,3,304,325,260,274
FLIR_00018.jpeg,3,10,188,206,329
FLIR_00018.jpeg,3,283,313,250,280
FLIR_00018.jpeg,3,246,272,255,278
FLIR_00018.jpeg,3,205,226,260,276
FLIR_00018.jpeg,3,268,282,259,274
FLIR_00018.jpeg,3,230,245,261,274
FLIR_00019.jpeg,3,0,86,218,342
FLIR_00019.jpeg,3,590,639,205,380
FLIR_00019.jpeg,3,418,477,270,310
FLIR_00019.jpeg,3,382,401,283,297
FLIR_00019.jpeg,3,323,341,279,291
FLIR_00020.jpeg,3,522,639,185,349
FLIR_00020.jpeg,3,541,592,216,252
FLIR_00021.jpeg,3,272,297,171,194
FLIR_00021.jpeg,3,173,213,156,179
FLIR_00021.jpeg,3,260,273,170,189
FLIR_00022.jpeg,3,192,233,257,289
FLIR_00024.jpeg,3,432,639,177,400
FLIR_00024.jpeg,3,381,432,233,325
FLIR_00024.jpeg,3,307,378,237,288
FLIR_00024.jpeg,3,66,126,241,282
FLIR_00024.jpeg,3,181,208,241,261
FLIR_00024.jpeg,3,145,173,238,256
FLIR_00024.jpeg,3,124,144,243,257
FLIR_00025.jpeg,3,50,348,181,347
FLIR_00025.jpeg,3,348,386,230,297
FLIR_00025.jpeg,3,395,503,217,260
FLIR_00025.jpeg,3,0,36,225,301
FLIR_00026.jpeg,3,328,439,210,264
FLIR_00027.jpeg,3,315,344,261,281
FLIR_00027.jpeg,3,338,359,260,279
FLIR_00028.jpeg,1,483,499,257,286
FLIR_00028.jpeg,1,496,511,256,287
FLIR_00030.jpeg,3,336,402,213,257
FLIR_00030.jpeg,3,123,178,213,269
FLIR_00031.jpeg,3,520,545,237,263
FLIR_00032.jpeg,3,39,119,215,273
FLIR_00032.jpeg,3,284,315,206,222
FLIR_00032.jpeg,3,380,408,201,219
FLIR_00033.jpeg,3,212,281,236,276
FLIR_00035.jpeg,3,26,102,241,291
FLIR_00036.jpeg,3,525,607,162,208
FLIR_00038.jpeg,3,275,348,229,280
FLIR_00038.jpeg,3,529,638,215,270
FLIR_00038.jpeg,3,0,75,225,295
FLIR_00038.jpeg,3,75,105,240,266
FLIR_00038.jpeg,3,158,171,240,254
FLIR_00039.jpeg,3,385,419,235,257
FLIR_00040.jpeg,3,128,179,233,265
FLIR_00040.jpeg,3,177,207,228,264
FLIR_00040.jpeg,3,207,239,230,257
FLIR_00040.jpeg,3,349,380,234,255
FLIR_00040.jpeg,3,312,340,232,251
FLIR_00041.jpeg,3,475,536,241,268
FLIR_00041.jpeg,3,0,54,245,299
FLIR_00041.jpeg,3,430,459,241,269
FLIR_00042.jpeg,3,36,138,232,291
FLIR_00042.jpeg,3,248,282,230,255
FLIR_00042.jpeg,3,357,395,236,265
FLIR_00042.jpeg,3,326,353,235,251
