image_name,class_id,xmin,xmax,ymin,ymax
FLIR_video_00001.jpeg,3,358,391,226,271
FLIR_video_00001.jpeg,3,323,337,227,254
FLIR_video_00001.jpeg,1,574,594,198,276
FLIR_video_00001.jpeg,3,122,152,230,256
FLIR_video_00001.jpeg,1,538,570,203,273
FLIR_video_00001.jpeg,3,349,358,230,265
FLIR_video_00001.jpeg,3,337,349,225,258
FLIR_video_00001.jpeg,3,391,525,203,298
FLIR_video_00001.jpeg,3,226,240,230,241
FLIR_video_00001.jpeg,3,240,255,230,242
FLIR_video_00001.jpeg,3,83,122,235,258
FLIR_video_00001.jpeg,3,155,181,231,252
FLIR_video_00002.jpeg,3,361,395,226,270
FLIR_video_00002.jpeg,1,584,607,196,277
FLIR_video_00002.jpeg,3,352,361,229,266
FLIR_video_00002.jpeg,3,241,256,230,243
FLIR_video_00002.jpeg,3,395,534,203,299
FLIR_video_00002.jpeg,3,121,152,231,256
FLIR_video_00002.jpeg,3,338,352,224,262
FLIR_video_00002.jpeg,1,546,578,202,276
FLIR_video_00002.jpeg,3,325,338,230,252
FLIR_video_00002.jpeg,3,154,182,231,253
FLIR_video_00002.jpeg,3,82,121,236,261
FLIR_video_00002.jpeg,3,227,241,230,243
FLIR_video_00003.jpeg,1,594,617,197,279
FLIR_video_00003.jpeg,3,156,181,231,253
FLIR_video_00003.jpeg,3,121,152,232,256
FLIR_video_00003.jpeg,3,398,544,201,302
FLIR_video_00003.jpeg,3,360,398,226,273
FLIR_video_00003.jpeg,3,325,340,225,255
FLIR_video_00003.jpeg,1,554,588,203,275
FLIR_video_00003.jpeg,3,340,355,223,264
FLIR_video_00003.jpeg,3,241,256,232,243
FLIR_video_00003.jpeg,3,78,119,237,261
FLIR_video_00004.jpeg,3,315,326,229,246
FLIR_video_00004.jpeg,3,403,550,201,305
FLIR_video_00004.jpeg,3,348,362,230,265
FLIR_video_00004.jpeg,1,605,623,197,283
FLIR_video_00004.jpeg,3,154,179,232,252
FLIR_video_00004.jpeg,3,326,342,231,255
FLIR_video_00004.jpeg,3,179,208,234,247
FLIR_video_00004.jpeg,3,117,149,232,257
FLIR_video_00004.jpeg,3,76,117,238,262
FLIR_video_00004.jpeg,1,564,595,202,279
FLIR_video_00004.jpeg,3,362,403,227,272
FLIR_video_00004.jpeg,3,240,255,230,243
FLIR_video_00005.jpeg,3,116,149,232,258
FLIR_video_00005.jpeg,1,615,637,197,284
FLIR_video_00005.jpeg,3,327,344,229,255
FLIR_video_00005.jpeg,3,232,256,232,246
FLIR_video_00005.jpeg,3,186,210,235,246
FLIR_video_00005.jpeg,3,350,366,231,268
FLIR_video_00005.jpeg,1,573,607,202,283
FLIR_video_00005.jpeg,3,75,115,238,264
FLIR_video_00005.jpeg,3,407,563,202,308
FLIR_video_00005.jpeg,3,313,327,230,250
FLIR_video_00005.jpeg,3,154,180,233,253
FLIR_video_00005.jpeg,3,366,407,228,274
FLIR_video_00006.jpeg,3,360,371,232,266
FLIR_video_00006.jpeg,3,116,149,233,258
FLIR_video_00006.jpeg,3,73,115,238,264
FLIR_video_00006.jpeg,3,371,415,228,277
FLIR_video_00006.jpeg,3,154,180,233,253
FLIR_video_00006.jpeg,3,244,255,231,244
FLIR_video_00006.jpeg,3,318,329,230,247
FLIR_video_00006.jpeg,3,345,361,229,262
FLIR_video_00006.jpeg,3,415,576,198,312
FLIR_video_00006.jpeg,3,329,346,235,255
FLIR_video_00006.jpeg,1,589,624,201,282
FLIR_video_00007.jpeg,3,370,417,226,277
FLIR_video_00007.jpeg,3,346,354,226,263
FLIR_video_00007.jpeg,3,354,370,230,269
FLIR_video_00007.jpeg,3,329,346,229,256
FLIR_video_00007.jpeg,3,242,256,232,245
FLIR_video_00007.jpeg,1,600,636,198,282
FLIR_video_00007.jpeg,3,417,594,195,315
FLIR_video_00007.jpeg,3,70,113,238,263
FLIR_video_00007.jpeg,3,114,147,232,257
FLIR_video_00007.jpeg,3,309,317,233,248
FLIR_video_00007.jpeg,3,197,220,235,246
FLIR_video_00007.jpeg,3,317,330,230,250
FLIR_video_00007.jpeg,3,226,242,230,244
FLIR_video_00007.jpeg,3,152,179,233,253
FLIR_video_00008.jpeg,3,112,145,233,258
FLIR_video_00008.jpeg,3,316,328,228,248
FLIR_video_00008.jpeg,3,424,610,194,318
FLIR_video_00008.jpeg,3,372,424,226,278
FLIR_video_00008.jpeg,1,612,639,197,286
FLIR_video_00008.jpeg,3,346,357,225,264
FLIR_video_00008.jpeg,3,357,372,229,268
FLIR_video_00008.jpeg,3,231,256,230,245
FLIR_video_00008.jpeg,3,196,224,234,247
FLIR_video_00008.jpeg,3,329,346,230,255
FLIR_video_00008.jpeg,3,67,110,238,266
FLIR_video_00008.jpeg,3,151,178,233,253
FLIR_video_00009.jpeg,3,150,180,232,252
FLIR_video_00009.jpeg,3,242,257,231,242
FLIR_video_00009.jpeg,3,364,375,229,269
FLIR_video_00009.jpeg,3,375,428,224,279
FLIR_video_00009.jpeg,3,114,145,232,258
FLIR_video_00009.jpeg,3,67,109,238,265
FLIR_video_00009.jpeg,1,625,639,195,264
FLIR_video_00009.jpeg,3,428,627,189,321
FLIR_video_00009.jpeg,3,202,225,234,246
FLIR_video_00009.jpeg,3,346,364,222,264
FLIR_video_00009.jpeg,3,327,346,225,256
FLIR_video_00010.jpeg,3,369,380,229,269
FLIR_video_00010.jpeg,3,233,244,230,242
FLIR_video_00010.jpeg,3,323,334,227,247
FLIR_video_00010.jpeg,3,202,230,233,244
FLIR_video_00010.jpeg,3,352,369,221,263
FLIR_video_00010.jpeg,3,244,257,229,242
FLIR_video_00010.jpeg,3,312,323,231,242
FLIR_video_00010.jpeg,3,440,639,186,326
FLIR_video_00010.jpeg,3,109,144,231,259
FLIR_video_00010.jpeg,3,60,108,236,265
FLIR_video_00010.jpeg,3,149,178,230,253
FLIR_video_00010.jpeg,3,380,440,223,277
FLIR_video_00010.jpeg,3,334,352,229,254
FLIR_video_00011.jpeg,3,242,257,229,242
FLIR_video_00011.jpeg,3,313,322,229,244
FLIR_video_00011.jpeg,3,332,351,230,254
FLIR_video_00011.jpeg,3,362,381,228,271
FLIR_video_00011.jpeg,3,149,179,230,251
FLIR_video_00011.jpeg,3,351,362,227,265
FLIR_video_00011.jpeg,3,61,106,236,262
FLIR_video_00011.jpeg,3,445,639,183,333
FLIR_video_00011.jpeg,3,322,332,227,248
FLIR_video_00011.jpeg,3,382,445,222,281
FLIR_video_00011.jpeg,3,110,143,229,256
FLIR_video_00011.jpeg,3,203,236,231,244
FLIR_video_00012.jpeg,3,60,104,237,265
